name;type;description
receiver.ogrn;string;
receiver.fullNameLat;string;олное наименование юридического лица / ФИО физического лица с использованием букв латинского алфавита.
receiver.inn;string;ИНН юридического или физического лица получателя субсидии (при наличии).
receiver.okopf;string;Код по общероссийскому классификатору организационно-правовых форм.
receiver.codeReestr;string;Код по сводному реестру
receiver.codeBudgetreg;string;
receiver.regCountryCode;string;Код страны регистрации иностранного юридического лица
receiver.institutetype;string;Тип учреждения получателя (код). Техническое поле. Определяется по Реестру участников бюджетного процесса, а также юридических лиц, не являющихся участниками бюджетного процесса
receiver.kpp;string;КПП юридического лица получателя субсидии (при наличии).
construct;list of [array];В блоке указаны сведения об объектах капитального строительства. Блок является необязательным.  Для одного соглашения может указываться несколько объектов капитального строительства.
bo;list of [array];В блоке указаны сведения о принятых на учет бюджетных обязательствах. Блок является необязательным.  Для одного соглашения может указываться только одно.
reportdocs;list of [array];
npa;list of [array];В блоке указаны сведения о НПА, определяющих правила предоставления из федерального бюджета субсидий, бюджетных инвестиций, межбюджетных трансфертов. Блок является необязательным. Для одного соглашения может указываться несколько НПА.
marks;list of [array];В блоке указаны сведения о показателях результативности. Блок является необязательным. Для одного соглашения может указываться несколько показателей результативности.
faip;list of [array];График платежей по коду ФАИП.
plansNormalized;list of [array];Нормализованное описание графика платежей
plansNormalized.byYear;dict;Платежи по годам
plansNormalized.byYear.2014;dict;Платежи по годам за 2014 год
plansNormalized.byYear.2014.byMonth;dict;
plansNormalized.byYear.2014.byMonth.9;float;
plansNormalized.byYear.2014.byMonth.12;float;
plansNormalized.byYear.2014.byMonth.10;float;
plansNormalized.byYear.2014.byMonth.6;float;
plansNormalized.byYear.2014.byMonth.7;float;
plansNormalized.byYear.2014.byMonth.1;float;
plansNormalized.byYear.2014.byMonth.11;float;
plansNormalized.byYear.2014.byMonth.4;float;
plansNormalized.byYear.2014.byMonth.5;float;
plansNormalized.byYear.2014.byMonth.3;float;
plansNormalized.byYear.2014.byMonth.2;float;
plansNormalized.byYear.2014.byMonth.8;float;
plansNormalized.byYear.2014.total;float;
plansNormalized.byYear.2019;dict;Платежи по годам за 2019 год
plansNormalized.byYear.2019.byMonth;dict;
plansNormalized.byYear.2019.byMonth.9;float;
plansNormalized.byYear.2019.byMonth.12;float;
plansNormalized.byYear.2019.byMonth.10;float;
plansNormalized.byYear.2019.byMonth.6;float;
plansNormalized.byYear.2019.byMonth.7;float;
plansNormalized.byYear.2019.byMonth.1;float;
plansNormalized.byYear.2019.byMonth.11;float;
plansNormalized.byYear.2019.byMonth.4;float;
plansNormalized.byYear.2019.byMonth.5;float;
plansNormalized.byYear.2019.byMonth.3;float;
plansNormalized.byYear.2019.byMonth.2;float;
plansNormalized.byYear.2019.byMonth.8;float;
plansNormalized.byYear.2019.total;float;
plansNormalized.byYear.2021;dict;Платежи по годам за 2021 год
plansNormalized.byYear.2021.byMonth;dict;
plansNormalized.byYear.2021.byMonth.9;float;
plansNormalized.byYear.2021.byMonth.12;float;
plansNormalized.byYear.2021.byMonth.10;float;
plansNormalized.byYear.2021.byMonth.6;float;
plansNormalized.byYear.2021.byMonth.7;float;
plansNormalized.byYear.2021.byMonth.1;float;
plansNormalized.byYear.2021.byMonth.11;float;
plansNormalized.byYear.2021.byMonth.4;float;
plansNormalized.byYear.2021.byMonth.5;float;
plansNormalized.byYear.2021.byMonth.3;float;
plansNormalized.byYear.2021.byMonth.2;float;
plansNormalized.byYear.2021.byMonth.8;float;
plansNormalized.byYear.2021.total;float;
plansNormalized.byYear.2020;dict;Платежи по годам за 2020 год
plansNormalized.byYear.2020.byMonth;dict;
plansNormalized.byYear.2020.byMonth.9;float;
plansNormalized.byYear.2020.byMonth.12;float;
plansNormalized.byYear.2020.byMonth.10;float;
plansNormalized.byYear.2020.byMonth.6;float;
plansNormalized.byYear.2020.byMonth.7;float;
plansNormalized.byYear.2020.byMonth.1;float;
plansNormalized.byYear.2020.byMonth.11;float;
plansNormalized.byYear.2020.byMonth.4;float;
plansNormalized.byYear.2020.byMonth.5;float;
plansNormalized.byYear.2020.byMonth.3;float;
plansNormalized.byYear.2020.byMonth.2;float;
plansNormalized.byYear.2020.byMonth.8;float;
plansNormalized.byYear.2020.total;float;
plansNormalized.byYear.2022;dict;Платежи по годам за 2022 год
plansNormalized.byYear.2022.byMonth;dict;
plansNormalized.byYear.2022.byMonth.9;float;
plansNormalized.byYear.2022.byMonth.12;float;
plansNormalized.byYear.2022.byMonth.10;float;
plansNormalized.byYear.2022.byMonth.6;float;
plansNormalized.byYear.2022.byMonth.7;float;
plansNormalized.byYear.2022.byMonth.1;float;
plansNormalized.byYear.2022.byMonth.11;float;
plansNormalized.byYear.2022.byMonth.4;float;
plansNormalized.byYear.2022.byMonth.5;float;
plansNormalized.byYear.2022.byMonth.3;float;
plansNormalized.byYear.2022.byMonth.2;float;
plansNormalized.byYear.2022.byMonth.8;float;
plansNormalized.byYear.2022.total;float;
plansNormalized.byYear.2018;dict;Платежи по годам за 2018 год
plansNormalized.byYear.2018.byMonth;dict;
plansNormalized.byYear.2018.byMonth.9;float;
plansNormalized.byYear.2018.byMonth.12;float;
plansNormalized.byYear.2018.byMonth.10;float;
plansNormalized.byYear.2018.byMonth.6;float;
plansNormalized.byYear.2018.byMonth.7;float;
plansNormalized.byYear.2018.byMonth.1;float;
plansNormalized.byYear.2018.byMonth.11;float;
plansNormalized.byYear.2018.byMonth.4;float;
plansNormalized.byYear.2018.byMonth.5;float;
plansNormalized.byYear.2018.byMonth.3;float;
plansNormalized.byYear.2018.byMonth.2;float;
plansNormalized.byYear.2018.byMonth.8;float;
plansNormalized.byYear.2018.total;float;
plansNormalized.byYear.2015;dict;Платежи по годам за 2015 год
plansNormalized.byYear.2015.byMonth;dict;
plansNormalized.byYear.2015.byMonth.9;float;
plansNormalized.byYear.2015.byMonth.12;float;
plansNormalized.byYear.2015.byMonth.10;float;
plansNormalized.byYear.2015.byMonth.6;float;
plansNormalized.byYear.2015.byMonth.7;float;
plansNormalized.byYear.2015.byMonth.1;float;
plansNormalized.byYear.2015.byMonth.11;float;
plansNormalized.byYear.2015.byMonth.4;float;
plansNormalized.byYear.2015.byMonth.5;float;
plansNormalized.byYear.2015.byMonth.3;float;
plansNormalized.byYear.2015.byMonth.2;float;
plansNormalized.byYear.2015.byMonth.8;float;
plansNormalized.byYear.2015.total;float;
plansNormalized.byYear.2023;dict;Платежи по годам за 2023 год
plansNormalized.byYear.2023.byMonth;dict;
plansNormalized.byYear.2023.byMonth.9;float;
plansNormalized.byYear.2023.byMonth.12;float;
plansNormalized.byYear.2023.byMonth.10;float;
plansNormalized.byYear.2023.byMonth.6;float;
plansNormalized.byYear.2023.byMonth.7;float;
plansNormalized.byYear.2023.byMonth.1;float;
plansNormalized.byYear.2023.byMonth.11;float;
plansNormalized.byYear.2023.byMonth.4;float;
plansNormalized.byYear.2023.byMonth.5;float;
plansNormalized.byYear.2023.byMonth.3;float;
plansNormalized.byYear.2023.byMonth.2;float;
plansNormalized.byYear.2023.byMonth.8;float;
plansNormalized.byYear.2023.total;float;
plansNormalized.byYear.2017;dict;Платежи по годам за 2017 год
plansNormalized.byYear.2017.byMonth;dict;
plansNormalized.byYear.2017.byMonth.9;float;
plansNormalized.byYear.2017.byMonth.12;float;
plansNormalized.byYear.2017.byMonth.10;float;
plansNormalized.byYear.2017.byMonth.6;float;
plansNormalized.byYear.2017.byMonth.7;float;
plansNormalized.byYear.2017.byMonth.1;float;
plansNormalized.byYear.2017.byMonth.11;float;
plansNormalized.byYear.2017.byMonth.4;float;
plansNormalized.byYear.2017.byMonth.5;float;
plansNormalized.byYear.2017.byMonth.3;float;
plansNormalized.byYear.2017.byMonth.2;float;
plansNormalized.byYear.2017.byMonth.8;float;
plansNormalized.byYear.2017.total;float;
plansNormalized.byYear.2016;dict;Платежи по годам за 2016 год
plansNormalized.byYear.2016.byMonth;dict;
plansNormalized.byYear.2016.byMonth.9;float;
plansNormalized.byYear.2016.byMonth.12;float;
plansNormalized.byYear.2016.byMonth.10;float;
plansNormalized.byYear.2016.byMonth.6;float;
plansNormalized.byYear.2016.byMonth.7;float;
plansNormalized.byYear.2016.byMonth.1;float;
plansNormalized.byYear.2016.byMonth.11;float;
plansNormalized.byYear.2016.byMonth.4;float;
plansNormalized.byYear.2016.byMonth.5;float;
plansNormalized.byYear.2016.byMonth.3;float;
plansNormalized.byYear.2016.byMonth.2;float;
plansNormalized.byYear.2016.byMonth.8;float;
plansNormalized.byYear.2016.total;float;
plansNormalized.purpose;string;Текстовое пояснение цели и направления расходования средств.
plansNormalized.sumLastYrNexec;string;Сумма неисполненного обязательства прошлых лет
plansNormalized.sumTotal;float;Общая сумма (размер) субсидии
plansNormalized.kbkCode;string;
plansNormalized.sumLastYrExec;string;Сумма исполненного обязательства прошлых лет
infoind;list of [array];В блоке отражена информация о достигнутых значениях показателей (целевых показателей) результативности использования субсидий.
documents;list of [array];В блоке указаны сведения о вложениях по реестровой записи. Блок является необязательным. У одного соглашения может быть несколько вложений.
documents.guid;string;Уникальный GUID
documents.size;string;Размер файла в байтах
documents.date;datetime;Дата передачи файла вложения.
documents.loaddate;string;Дата загрузки файла вложения
documents.id;string;Уникальный суррогатный ключ
documents.name;string;Имя файла вложения.
documents.contentType;string;Тип контента, например: image/jpeg.
typereport;list of [array];Типы отчетов
subjectNpa;list of [array];В блоке указаны сведения о НПА, устанавливающих распределение субсидии между субъектами Российской Федерации. Блок является необязательным.  Для одного соглашения может указываться только одно НПА.
changes;list of [array];В блоке указаны сведения о изменениях реестровой записи. Блок является необязательным. Для одного соглашения может указываться несколько изменений реестровой записи.
changes.guid;string;Уникальный GUID
changes.numberdoc;string;Номер документа основания
changes.docsosn;string;Документ основания
changes.date;string;Дата внесения изменений (Техническое поле)
changes.text;string;Описание изменений.
changes.docdate;datetime;Дата внесения изменений
changes.num;string;Порядковый номер документа в реестровой записи.
changes.vidssdop;string;
grbs;dict;В блоке указаны реквизиты ГРБС. Блок является обязательным. Для одного соглашения указывается один ГРБС.
grbs.regionCode;string;Уникальный код региона
grbs.buildingType;string;Тип и номер здания/ сооружения.
grbs.shortName;string;
grbs.localName;string;
grbs.dateAccount;datetime;Дата постановки на учет в налоговом органе.
grbs.countryCode;string;Кодовое обозначение страны
grbs.countryName;string;Наименование страны
grbs.regionName;string;
grbs.locationOktmo;string;
grbs.fullName;string;
grbs.objectType;string;
grbs.postIndex;string;Почтовый индекс
grbs.location;string;
grbs.districtName;string;Наименование муниципального района, городского округа или внутригородской территории в составе субъекта Российской Федерации
grbs.grbsAccount;string;
grbs.tofkcode;string;
grbs.kpp;string;КПП юридического лица получателя субсидии (при наличии).
grbs.streetType;string;
grbs.localCode;string;Населенный пункт
grbs.settleName;string;Наименование городского/сельского поселения в составе муниципального района или внутригородского района городского округа
grbs.ogrn;string;
grbs.inn;string;ИНН юридического или физического лица получателя субсидии (при наличии).
grbs.tofkname;string;
grbs.codeReestr;string;Код по сводному реестру
grbs.structType;string;
grbs.codeBudgetreg;string;
grbs.kbkInput;string;
grbs.okopf;string;Код по общероссийскому классификатору организационно-правовых форм.
grbs.roomType;string;Тип и номер помещения, расположенного в здании/сооружении.

_id;string;Уникальный суррогатный ключ

info;dict;Базовая информация об организации

info.regNum;string;Учетный номер организации. Учетный номер организации, присваиваемый в ОрФК

info.code;string;Код участника (неуникален)

info.divisionParentName;string;Наименование организации, создавшей подразделение.

info.divisionParentCode;string;Код организации, создавшей подразделение.

info.ogrn;string;Код ОГРН

info.fullName;string;Полное наименование организации. Указывается полное наименование в соответствии со сведениями ЕГРЮЛ. Для обособленных подразделений заполняется в соответствии с учредительными документами.

info.shortName;string;Сокращенное наименование юридического лица на русском языке.

info.inn;string;ИНН юридического или физического лица получателя субсидии (при наличии).

info.kpp;string;КПП юридического лица получателя субсидии (при наличии).

info.regDate;datetime;Дата регистрации

info.okopfName;string;Наименование кода ОКОДПФ

info.okopfCode;string;Код ОКОПФ

info.okfsName;string;Наименование кода ОКФС

info.okfsCode;string;Код ОКФС

info.postIndex;string;Почтовый индекс

info.cityType;string;Тип населённого пункта

info.cityName;string;Населённый пункт

info.streetType;string;Тип улицы

info.streetName;string;Наименование улицы

info.oktmoName;string;Наименование кода ОКТМО

info.oktmoCode;string;Код ОКТМО

info.orfkName;string;Наименование ОрФК обслуживания

info.orfkCode;string;Код ОрФК обслуживания

info.oksmName;string;Наименование страны по ОКСМ

info.oksmCode;string;Код страны по ОКСМ

info.location;string;Адрес в стране местонахождения

info.kbkName;string;Наименование по справочнику «Главы», кроме организаций с уровнем бюджета:

info.kbkCode;string;Код по справочнику «Главы», кроме организаций с уровнем бюджета:

info.okoguName;string;Наименование по ОКОГУ

info.okoguCode;string;Код по ОКОГУ

info.okpoCode;string;Код по ОКПО Указывается код по справочнику «ОКПО».

info.orgTypeName;string;Наименование типа организации

info.orgTypeCode;string;Код типа организации

info.establishmentKindName;string;Наименование типа учреждения

