name;type;description
plansNormalized.byYear.2023.byMonth.3;float;
plansNormalized.byYear.2023.byMonth.5;float;
plansNormalized.byYear.2023.byMonth.11;float;
plansNormalized.byYear.2016;dict;
plansNormalized.byYear.2016.byMonth;dict;
plansNormalized.byYear.2016.byMonth.8;float;
plansNormalized.byYear.2016.byMonth.7;float;
plansNormalized.byYear.2016.byMonth.5;float;
plansNormalized.byYear.2016.byMonth.12;float;
plansNormalized.byYear.2016.byMonth.6;float;
plansNormalized.byYear.2016.byMonth.4;float;
plansNormalized.byYear.2016.byMonth.9;float;
plansNormalized.byYear.2016.byMonth.11;float;
plansNormalized.byYear.2016.byMonth.1;float;
plansNormalized.byYear.2016.byMonth.2;float;
plansNormalized.byYear.2016.byMonth.10;float;
plansNormalized.byYear.2016.byMonth.3;float;
plansNormalized.byYear.2016.total;float;
plansNormalized.kbkCode;string;
grbs;dict;
grbs.settleName;string;
grbs.objectType;string;
grbs.tofkname;string;
grbs.streetType;string;
grbs.structType;string;
grbs.regionName;string;
grbs.locationOktmo;string;
grbs.districtName;string;
grbs.codeReestr;string;
grbs.countryName;string;
grbs.ogrn;string;
grbs.shortName;string;
grbs.dateAccount;string;
grbs.tofkcode;string;
grbs.postIndex;string;
grbs.codeBudgetreg;string;
grbs.fullName;string;
grbs.kbkInput;string;
grbs.roomType;string;
grbs.inn;string;
grbs.location;string;
grbs.localName;string;
grbs.countryCode;string;
grbs.grbsAccount;string;
grbs.regionCode;string;
grbs.buildingType;string;
grbs.kpp;string;
grbs.okopf;string;
grbs.localCode;string;
construct;list of [array];
reportdocs;list of [array];
changes;list of [array];
changes.date;string;
changes.docsosn;string;
changes.vidssdop;string;
changes.docdate;string;
changes.guid;string;
changes.text;string;
changes.num;string;
changes.numberdoc;string;
infoind;list of [array];
infoind.name;string;
infoind.dateinfo;string;
infoind.guid;string;
infoind.deviationreason;string;
infoind.value;string;
infoind.indnum;string;
infoind.loaddate;string;
infoind.okei;string;
infoind.documents;list of [array];
infoind.documents.date;string;
infoind.documents.name;string;
infoind.documents.size;string;
infoind.documents.guid;string;
infoind.documents.contentType;string;
infoind.documents.id;string;
infoind.documents.loaddate;string;
id;string;
bo;list of [array];
bo.number;string;
bo.dateUnderwrite;string;
bo.cause;string;
bo.fio;string;
bo.dateAccount;string;
bo.head;string;
documents;list of [array];
documents.date;string;
documents.name;string;
documents.size;string;
documents.guid;string;
documents.contentType;string;
documents.id;string;
documents.loaddate;string;
plans;list of [array];
subjectNpa;list of [array];
subjectNpa.kind;string;
subjectNpa.dateAccept;string;
subjectNpa.name;string;
subjectNpa.number;string;
payments;list of [array];
payments.sumCurrency;float;
payments.date;string;
payments.document;string;
payments.currencyCode;string;
payments.sumRub;float;
payments.rate;float;
payments.currencyName;string;
payments.num;string;
typereport;list of [array];
typereport.reptypename;string;
typereport.reportschedule;list of [array];
typereport.reportschedule.plandate;string;
typereport.reportschedule.factdate;string;
typereport.reportschedule.reportdate;string;
typereport.reppercode;string;
typereport.reppername;string;
typereport.reptypecode;string;
npa;list of [array];
npa.endDate;string;
npa.regDate;string;
npa.npaNumber;string;
npa.acceptDate;string;
npa.npaName;string;
npa.npaKind;string;
npa.regNum;string;
infocost;list of [array];
infocost.currencycode;string;
infocost.documents;list of [array];
infocost.guid;string;
infocost.volimplemcost;float;
infocost.loaddate;string;
infocost.dateinfo;string;
receiver;list of [array];
receiver.phoneNumber;string;
receiver.inn;string;
receiver.oktmo;string;
receiver.regCountryName;string;
receiver.regCountryCode;string;
receiver.fullName;string;
receiver.institutetypename;string;
receiver.institutetype;string;
receiver.detached;string;
receiver.grbsFullName;string;
receiver.codeReestr;string;
receiver.ogrn;string;
receiver.shortName;string;
receiver.dateAccount;string;
receiver.accountNum;string;
receiver.email;string;
receiver.codeBudgetreg;string;
receiver.localAddress;dict;
receiver.localAddress.localName;string;
receiver.localAddress.object;string;
receiver.localAddress.postIndex;string;
receiver.localAddress.oktmo;string;
receiver.localAddress.roomType;string;
receiver.localAddress.settleName;string;
receiver.localAddress.countryName;string;
receiver.localAddress.street;string;
receiver.localAddress.streetType;string;
receiver.localAddress.struct;string;
receiver.localAddress.regionName;string;
receiver.localAddress.regionCode;string;
receiver.localAddress.districtName;string;
receiver.localAddress.buildingType;string;
receiver.localAddress.countryCode;string;
receiver.localAddress.regionCodeFixed;string;
receiver.localAddress.localCode;string;
receiver.shortNameLat;string;
receiver.admelement;string;
receiver.foreignAddress;dict;
receiver.foreignAddress.localName;string;
receiver.foreignAddress.object;string;
receiver.foreignAddress.postIndex;string;
receiver.foreignAddress.oktmo;string;
receiver.foreignAddress.roomType;string;
receiver.foreignAddress.settleName;string;
receiver.foreignAddress.countryName;string;
receiver.foreignAddress.street;string;
receiver.foreignAddress.streetType;string;
receiver.foreignAddress.struct;string;
receiver.foreignAddress.regionName;string;
receiver.foreignAddress.regionCode;string;
receiver.foreignAddress.districtName;string;
receiver.foreignAddress.buildingType;string;
receiver.foreignAddress.countryCode;string;
receiver.foreignAddress.localCode;string;
receiver.codeRecipient;string;
receiver.accountOrgCode;string;
receiver.codeReestrGrbs;string;
receiver.kpp;string;
receiver.okopf;string;
receiver.budgetName;string;
receiver.fullNameLat;string;
faipSubject;list of [array];
plansSubject;list of [array];
plansSubject.sumLastYrNexec;float;
plansSubject.facts;list of [array];
plansSubject.facts.period;string;
plansSubject.facts.sumsubrub;float;
plansSubject.facts.sumsubcur;float;
plansSubject.facts.outersystem;string;
plansSubject.note;string;
plansSubject.purpose;string;
plansSubject.sumLastYrExec;float;
plansSubject.rate;float;
plansSubject.kbk;string;
plansSubject.analyticalCode;string;
plansSubject.outersystem;string;
plansSubject.conditsign;string;
marks;list of [array];
marks.date;string;
marks.value;string;
marks.indnum;string;
marks.name;string;
marks.okei;string;
infosub;list of [array];
infosub.volrecsub;string;
infosub.documents;list of [array];
infosub.guid;string;
infosub.volretsub;string;
infosub.loaddate;string;
infosub.dateinfo;string;
addagreement;list of [array];
info;dict;
info.startDate;string;
info.name;string;
info.rate;string;
info.numberNpa;string;
info.mfCode;string;
info.currencySum;float;
info.endDate;string;
info.sumSubFzFb;string;
info.currencyCode;string;
info.sumMba;string;
info.regnumRgz;string;
info.outerSystem;string;
info.sumMbamo;string;
info.regNum;string;
info.dateUpdate;string;
info.ts_mrk;string;
info.t_summ;float;
info.internaldocnum;string;
info.ap_mrk;string;
info.npaKind;string;
info.sum;float;
info.loaddate;string;
info.dateReg;string;
info.mfName;string;
info.currencyName;string;
info.numAgreem;string;
info.nameNpa;string;
info.dateAgreem;string;
info.code;string;
